uuid,gene_curie,gene_symbol,disease_curie,disease_title,disease_original_curie,disease_original_title,classification_curie,classification_title,moi_curie,moi_title,submitter_curie,submitter_title,submitted_as_hgnc_id,submitted_as_hgnc_symbol,submitted_as_disease_id,submitted_as_disease_name,submitted_as_moi_id,submitted_as_moi_name,submitted_as_submitter_id,submitted_as_submitter_name,submitted_as_classification_id,submitted_as_classification_name,submitted_as_date,submitted_as_public_report_url,submitted_as_notes,submitted_as_pmids,submitted_as_assertion_criteria_url,submitted_as_submission_id,submitted_run_date,pub_year
GENCC_000104-HGNC_23336-MONDO_0018997-HP_0000006-GENCC_100004,HGNC:23336,A2ML1,MONDO:0018997,Noonan syndrome,MONDO:0018997,Noonan syndrome,GENCC:100004,Limited,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:23336,A2ML1,MONDO:0018997,Noonan syndrome,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100004,Limited,2020-10-07 20:04:14,https://panelapp.genomicsengland.co.uk/panels/48/,,24939586,,000104.pa48.v1.73.hgnc23336.m1.p1,2020-10-08,2015.0
GENCC_000104-HGNC_23336-MONDO_0018997-HP_0000006-GENCC_100004,HGNC:23336,A2ML1,MONDO:0018997,Noonan syndrome,MONDO:0018997,Noonan syndrome,GENCC:100004,Limited,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:23336,A2ML1,MONDO:0018997,Noonan syndrome,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100004,Limited,2020-10-07 20:04:14,https://panelapp.genomicsengland.co.uk/panels/48/,,25862627,,000104.pa48.v1.73.hgnc23336.m1.p1,2020-10-08,2015.0
GENCC_000104-HGNC_23336-MONDO_0018997-HP_0000006-GENCC_100004,HGNC:23336,A2ML1,MONDO:0018997,Noonan syndrome,MONDO:0018997,Noonan syndrome,GENCC:100004,Limited,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:23336,A2ML1,MONDO:0018997,Noonan syndrome,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100004,Limited,2020-10-07 20:04:14,https://panelapp.genomicsengland.co.uk/panels/48/,,27942422,,000104.pa48.v1.73.hgnc23336.m1.p1,2020-10-08,2016.0
GENCC_000104-HGNC_1097-OMIM_613707-HP_0000006-GENCC_100002,HGNC:1097,BRAF,MONDO:0013380,LEOPARD syndrome 3,OMIM:613707,LEOPARD syndrome 3,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:1097,BRAF,OMIM:613707,LEOPARD syndrome 3 613707,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:14,https://panelapp.genomicsengland.co.uk/panels/48/,,19206169,,000104.pa48.v1.73.hgnc1097.m1.p1,2020-10-08,2009.0
GENCC_000104-HGNC_1097-OMIM_613707-HP_0000006-GENCC_100002,HGNC:1097,BRAF,MONDO:0013380,LEOPARD syndrome 3,OMIM:613707,LEOPARD syndrome 3,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:1097,BRAF,OMIM:613707,LEOPARD syndrome 3 613707,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:14,https://panelapp.genomicsengland.co.uk/panels/48/,,21396583,,000104.pa48.v1.73.hgnc1097.m1.p1,2020-10-08,2011.0
GENCC_000104-HGNC_1097-OMIM_115150-HP_0000006-GENCC_100002,HGNC:1097,BRAF,MONDO:0007265,cardiofaciocutaneous syndrome 1,OMIM:115150,Cardiofaciocutaneous syndrome,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:1097,BRAF,OMIM:115150,Cardiofaciocutaneous syndrome 115150,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:14,https://panelapp.genomicsengland.co.uk/panels/48/,,19206169,,000104.pa48.v1.73.hgnc1097.m1.p2,2020-10-08,2009.0
GENCC_000104-HGNC_1097-OMIM_115150-HP_0000006-GENCC_100002,HGNC:1097,BRAF,MONDO:0007265,cardiofaciocutaneous syndrome 1,OMIM:115150,Cardiofaciocutaneous syndrome,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:1097,BRAF,OMIM:115150,Cardiofaciocutaneous syndrome 115150,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:14,https://panelapp.genomicsengland.co.uk/panels/48/,,21396583,,000104.pa48.v1.73.hgnc1097.m1.p2,2020-10-08,2011.0
GENCC_000104-HGNC_1097-OMIM_613706-HP_0000006-GENCC_100002,HGNC:1097,BRAF,MONDO:0013379,Noonan syndrome 7,OMIM:613706,Noonan syndrome 7,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:1097,BRAF,OMIM:613706,Noonan syndrome 7 613706,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:14,https://panelapp.genomicsengland.co.uk/panels/48/,,19206169,,000104.pa48.v1.73.hgnc1097.m1.p3,2020-10-08,2009.0
GENCC_000104-HGNC_1097-OMIM_613706-HP_0000006-GENCC_100002,HGNC:1097,BRAF,MONDO:0013379,Noonan syndrome 7,OMIM:613706,Noonan syndrome 7,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:1097,BRAF,OMIM:613706,Noonan syndrome 7 613706,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:14,https://panelapp.genomicsengland.co.uk/panels/48/,,21396583,,000104.pa48.v1.73.hgnc1097.m1.p3,2020-10-08,2011.0
GENCC_000104-HGNC_1541-OMIM_613563-HP_0000006-GENCC_100002,HGNC:1541,CBL,MONDO:0013308,CBL-related disorder,OMIM:613563,Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:1541,CBL,OMIM:613563,Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia 613563,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:14,https://panelapp.genomicsengland.co.uk/panels/48/,,20619386,,000104.pa48.v1.73.hgnc1541.m1.p1,2020-10-08,2010.0
