gene	pmid	cluster
SLFN14	31378119	0
SLFN14	37140956	0
SLFN14	36790527	0
SLFN14	26280575	0
SLFN14	33496736	0
SLFN14	29678925	0
SLFN14	37041648	0
SLFN14	36237120	0
SLFN14	26769223	0
CTF1	11058912	1
CTF1	24503780	1
CTF1	26084686	1
FBN2	15742475	1
FBN2	16407178	1
FBN2	18838118	1
FBN2	24036431	1
FBN2	24130178	1
FBN2	24833718	1
FBN2	24899048	1
FBN2	25195018	1
FBN2	26114882	1
FBN2	27007659	1
FBN2	28383543	1
FBN2	29501612	1
FBN2	29742989	1
FBN2	30675029	1
FBN2	31426022	1
FBN2	31506931	1
FBN2	32534992	1
FBN2	32900841	1
FBN2	34356068	1
FBN2	34456093	1
FBN2	35754816	1
FBN2	36800380	1
FBN2	36849876	1
FBN2	37254066	1
FBN2	37399314	1
FBN2	37875969	1
FBN2	38099230	1
FBN2	38114583	1
FBN2	38215673	1
EXOC2	32639540	1
RHOH	22850876	1
RNASEH1	30340744	1
RNASEH1	28508084	1
RNASEH1	31258551	1
RNASEH1	26094573	1
RNASEH1	33396418	1
DNAJC7	31768050	1
DNAJC7	32897108	1
DNAJC7	33062890	1
DNAJC7	33193563	1
DNAJC7	34233860	1
DNAJC7	35039179	1
DNAJC7	35456894	1
DNAJC7	36993367	1
DNAJC7	37870677	1
DNAJC7	38112783	1
ZNF423	32925911	1
ZNF423	33531950	1
ZNF423	33270637	1
ZNF423	22863007	1
OTUD7A	33381903	1
OTUD7A	31997314	1
ADCY1	24482543	1
IGKC	32278584	1
IGKC	26853951	1
IGKC	4132042	1
SARS1	35790048	1
SARS1	36041817	1
SARS1	34570399	1
BAZ2B	31999386	1
BAZ2B	25363768	1
BAZ2B	28135719	1
BAZ2B	28554332	1
BAZ2B	28867142	1
BAZ2B	31398340	1
BAZ2B	31981491	1
BAZ2B	33057194	1
BAZ2B	37872713	1
TAPBP	12149238	1
B4GAT1	34587870	1
B4GAT1	34602496	1
B4GAT1	25279699	1
B4GAT1	23877401	1
TOP2B	31198993	1
TOP2B	31409799	1
TOP2B	31953910	1
TOP2B	33459963	1
TOP2B	35063500	1
TOP2B	36450898	1
TOP2B	37068767	1
TOP2B	32128574	1
SLFN14	30431218	1
SLFN14	30536060	1
HYAL1	10339581	1
HYAL1	21559944	1
HYAL1	26322170	1
RGS9	17826834	1
RGS9	14702087	1
RGS9	29107794	1
RGS9	19818506	1
MLH3	32469048	1
MLH3	33453991	1
MLH3	36041235	1
COG4	19494034	1
COG4	19651599	1
COG4	21185756	1
COG4	25312861	1
COG4	30287385	1
COG4	30290151	1
COG4	31949312	1
COG4	32078278	1
COG4	32652690	1
COG4	33340551	1
COG4	33629572	1
COG4	33688625	1
COG4	34022244	1
COG4	34298581	1
COG4	34595172	1
COG4	34603392	1
COG4	35455576	1
COG4	36393834	1
JPH2	17476457	1
JPH2	17509612	1
JPH2	20694023	1
JPH2	22515980	1
JPH2	23715556	1
JPH2	23973696	1
JPH2	24636942	1
JPH2	24935431	1
JPH2	25500949	1
JPH2	26869393	1
JPH2	27471098	1
JPH2	30167555	1
JPH2	28393127	1
JPH2	30235249	1
JPH2	30384889	1
JPH2	31227780	1
JPH2	31478477	1
JPH2	32777767	1
JPH2	32879264	1
JPH2	34394822	1
JPH2	34526680	1
JPH2	34861382	1
JPH2	35001666	1
JPH2	35238659	1
JPH2	36357925	1
JPH2	37371654	1
JPH2	29540472	1
JPH2	29165669	1
GRXCR2	24619944	1
GRXCR2	28383030	1
GRXCR2	32048449	1
GRXCR2	30157177	1
GRXCR2	33528103	1
GRXCR2	35454363	1
EMC1	36799557	1
EMC1	35234901	1
EMC1	37187958	1
EMC1	26942288	1
EMC1	32092440	1
EMC1	29271071	1
EMC1	38161285	1
EMC1	37554197	1
KMO	23459468	1
CPT1B	18023382	1
LRRC10	26017719	1
LRRC10	29431102	1
LRRC10	28032242	1
LRRC10	27536250	1
LRRC10	29431105	1
LRRC10	31270560	1
TOPBP1	24702692	1
TOPBP1	34199176	1
MLH3	11586295	2
MLH3	12702580	2
MLH3	12800209	2
MLH3	15193445	2
MLH3	16885347	2
MLH3	16981255	2
MLH3	17656264	2
MLH3	18521850	2
MLH3	18551179	2
MLH3	19156873	2
MLH3	24549055	2
MLH3	25142776	2
MLH3	26149658	2
MLH3	26296701	2
MLH3	26542077	2
MLH3	27401157	2
MLH3	30573798	2
MLH3	30614234	2
MLH3	31043711	2
MLH3	31297992	2
MLH3	31686011	2
MLH3	33117677	2
MLH3	33517345	2
MLH3	34008015	2
MLH3	34897210	2
MLH3	35475445	2
MLH3	37656691	2
MLH3	38201513	2
MLH3	28195393	2
MLH3	29212164	2
FBN2	9605585	3
FBN2	9714438	3
FBN2	9737771	3
FBN2	10797416	3
FBN2	11285249	3
FBN2	11754102	3
FBN2	15121784	3
FBN2	15912465	3
FBN2	17345643	3
FBN2	18646717	3
FBN2	18767143	3
FBN2	19006240	3
FBN2	19473076	3
FBN2	20161761	3
FBN2	24585410	3
FBN2	27625873	3
FBN2	25493702	3
FBN2	25834781	3
FBN2	25975422	3
FBN2	27196565	3
FBN2	27606123	3
FBN2	27912749	3
FBN2	28379158	3
FBN2	28762477	3
FBN2	29864108	3
FBN2	30147916	3
FBN2	31316167	3
FBN2	31624054	3
FBN2	32184806	3
FBN2	32335871	3
FBN2	32702406	3
FBN2	32747207	3
FBN2	33571691	3
FBN2	33638605	3
FBN2	34355836	3
FBN2	35126451	3
FBN2	35154713	3
FBN2	35360850	3
FBN2	35598270	3
FBN2	35804365	3
FBN2	36936417	3
FBN2	37962692	3
FBN2	38326314	3
